year,close
01-01-2018,45636
01-01-2017,41583
01-01-2016,39779
01-01-2015,37009
01-01-2014,34618
01-01-2013,31992
01-01-2012,28758
01-01-2011,25097
01-01-2010,22332
01-01-2009,21725
01-01-2008,21590
01-01-2007,20566
01-01-2006,19838
01-01-2005,18147
