year,close
01-01-2018,"3,220"
01-01-2017,"2,725"
01-01-2016,"2,669"
01-01-2015,"2,711"
01-01-2014,"2,538"
01-01-2013,"2,616"
01-01-2012,"2,328"
01-01-2011,"1,583"
01-01-2010,"1,858"
01-01-2009,"1,695"
01-01-2008,"1,893"
01-01-2007,"1,838"
01-01-2006,"2,031"
01-01-2005,"1,607"
