year,close
2018,"3,220"
2017,"2,725"
2016,"2,669"
2015,"2,711"
2014,"2,538"
2013,"2,616"
2012,"2,328"
2011,"1,583"
2010,"1,858"
2009,"1,695"
2008,"1,893"
2007,"1,838"
2006,"2,031"
2005,"1,607"
